12:04:49 PM	I1 A2 - X Minus 6 - BPGHS 101 2010	Y=	Function	Math 1	Math 2	Math 3	Social 1	Social 2	Social 3	Hit/No Hit	ALL
16	[lhm101]	Y1	X-6	S			N			HIT	ALL
16	[tjs101]	Y1	X-6	S			N			HIT	ALL
17	[cyr101]	Y1	X-6	S			N			HIT	ALL
18	[kjg101]	Y1	X-6	S			N			HIT	ALL
19	[axy101]	Y1	X-6	S			N			HIT	ALL
19	[lec101]	Y1	X-6	S			N			HIT	ALL
25	[vth101]	Y1	X-6	S			N			HIT	ALL
26	[tmj101]	Y1	X-6	S			N			HIT	ALL
27	[cmk101]	Y1	X-6	S			N			HIT	ALL
27	[lwj101]	Y1	X-6	S			N			HIT	ALL
28	[nyh101]	Y1	X-6	S			N			HIT	ALL
31	[csh101]	Y1	X-6	S			N			HIT	ALL
33	[ljl101]	Y1	X+6	S			N			NO-HIT	ALL
36	[tyk101]	Y1	X-6	S			N			HIT	ALL
37	[nsq101]	Y1	X-6	S			N			HIT	ALL
41	[ljl101]	Y1	X-6	S			N			HIT	ALL
46	[hyx101]	Y1	X-6	S			N			HIT	ALL
63	[tzt101]	Y1	X-6	S			N			HIT	ALL
71	[lzh101]	Y1	X-6	S			N			HIT	ALL
81	[csh101]	Y2	1000X-6000	S			BN			NO-HIT	ALL
81	[ljl101]	Y2	X-(123456789-123456783)	ASMD			BN			HIT	ALL
102	[tmj101]	Y3	X-(3*2)	ASMD			N			HIT	ALL
102	[tmj101]	Y2	X-12+6	ASMD			N			HIT	ALL
125	[vth101]	Y3	999999999X-6	S			BN			NO-HIT	ALL
126	[vth101]	Y2	666666666X-6	SNO			BN			NO-HIT	ALL
128	[fbr101]	Y1	X-6	S			N			HIT	ALL
138	[nar101]	Y1	X-6	S			N			HIT	ALL
139	[cmk101]	Y3	1+1+1+1+1+1+1+1+1+1+1-2-2-2-2-2+1+1+1+1-2-2+X-6	A0			MT			NO-HIT	ALL
139	[cmk101]	Y2	1+2+3+4+5+6+7+8+9+10+11+12-1-2-3-4-5-6-7-8-9-10-11-12+X-6	A0			MT			HIT	ALL
153	[fnz101]	Y1	X-6	S			N			HIT	ALL
154	[tzt101]	Y2	(8*5*4*7*2*5*4*2*3*6*5*4*1*2*8*6*2*4*5*6*9*8*5*2*3*1*4*5*8*9*6*3*4*5*6*5*5*8*7*0)+(X-6)	M0			MT			HIT	ALL
177	[lzh101]	Y2	X-6+8-6-2	A0			MT			HIT	ALL
177	[lzh101]	Y3	X-6+8-6-2+5-3-2	A0			MT			HIT	ALL
178	[nsq101]	Y2	X*2/2-6	R1			MT			HIT	ALL
178	[nsq101]	Y3	X/2*4/2-6	R1			MT			HIT	ALL
179	[mkw101]	Y1	X-6	S			N			HIT	ALL
180	[ywx101]	Y1	X-6	S			N			HIT	ALL
181	[gmf101]	Y1	X-6	S			N			HIT	ALL
189	[khy101]	Y3	X-1-1-1-1-1-1+6-1-1-1-1-1-1	A0			MT			HIT	ALL
189	[khy101]	Y1	X-6	S			N			HIT	ALL
189	[khy101]	Y2	X+X+X-X-X-6	VASM			MT			HIT	ALL
196	[cgh101]	Y1	X-6+6-3*2*6/2/3+5648-5608-40	A0	R1		MT	BN		HIT	ALL
200	[tjs101]	Y2	X-(1+2+3)	ASMD			MT			HIT	ALL
200	[tjs101]	Y3	X-(9+8+7+6+5+4+3+2+1)-(9+8+7+6+5+4)	A0			MT			NO-HIT	ALL
201	[lah101]	Y1	X-6	S			N			HIT	ALL
210	[cyr101]	Y3	1000X/2/100/5-6	R1			BN			HIT	ALL
210	[cyr101]	Y2	X-6+12-12+6-12+6	A0			MT			HIT	ALL
218	[tmt101]	Y1	X-6	S			N			HIT	ALL
218	[tmt101]	Y2	X-999+999+6-6+6-6-6	A0			MT			HIT	ALL
218	[tmt101]	Y3	X+(3.141592654/3.141592654)-7	O			U			HIT	ALL
225	[ywx101]	Y1	X-3	SNO			N			NO-HIT	ALL
226	[lhm101]	Y2	(X+X+X+X)-24	VASM			MT			NO-HIT	ALL
226	[lhm101]	Y3	X+999999-999999-6	A0			BN			HIT	ALL
230	[cmk101]	Y3	1+1+1+1+1+1+1+1+1+1-2-2-2-2-2+1+1+1+1-2-2+X-3-3	A0			MT			HIT	ALL
234	[nas101]	Y2	X-(1000-994)	ASMD			BN			HIT	ALL
234	[nas101]	Y1	X-6	S			N			HIT	ALL
234	[nas101]	Y3	X+(1+2+3+4+2/2)	ASMD			MT			NO-HIT	ALL
237	[txl101]	Y1	1X/6X	SNO			N			NO-HIT	ALL
237	[txl101]	Y2	6X/6X	SNO			N			NO-HIT	ALL
237	[txl101]	Y3	7X*2X	SNO			N			NO-HIT	ALL
239	[ywx101]	Y1	X-5	SNO			N			NO-HIT	ALL
245	[tzt101]	Y3	(8*5*4*7*8*5*4*5*1*4*5*9*6*2*4*5*8*2*5*7*5*8*9*6*5*4*7*8*99999*5555*4444*4558888*526467*55197*5*5*7*8*9*0)+X-6	M0			MT	BN		HIT	ALL
246	[tyk101]	Y3	X+1+2+3-6-6	A0			MT			HIT	ALL
246	[tyk101]	Y2	X+9-15	VASM			N			HIT	ALL
248	[ywx101]	Y1	X-4	SNO			N			NO-HIT	ALL
249	[ywj101]	Y3	(100X-99X)-(100-94)	VASM			MT			HIT	ALL
250	[ywj101]	Y2	X-(1+2+3)	ASMD			MT			HIT	ALL
250	[ywj101]	Y1	X-6	S			N			HIT	ALL
255	[fnz101]	Y2	10X/2*5*4-600	SNO			MT			NO-HIT	ALL
259	[ywx101]	Y1	X-2	SNO			N			NO-HIT	ALL
270	[txl101]	Y1	1X	SNO			N			NO-HIT	ALL
279	[ljl101]	Y3	X-((999999999/123456789)/8.10000006*6)	R1			MT	BN		HIT	ALL
286	[cmk101]	Y2	1+2+3+4+5+6+7+8+9+10+11+12-1-2-3-4-5-6-7-8-9-10-11-12+X-1-1-1-1-1-1+2+2+2-3-3+4+2-6	A0			MT			HIT	ALL
290	[lrw101]	Y2	X-12+6	ASMD			N			HIT	ALL
290	[lrw101]	Y3	X-14+8	ASMD			N			HIT	ALL
290	[lrw101]	Y1	X-6	S			N			HIT	ALL
293	[kjg101]	Y3	2X-(6^2)	SNO			N			NO-HIT	ALL
293	[kjg101]	Y2	X-(10000-9994)	ASMD			BN			HIT	ALL
294	[nyh101]	Y2	X+(21+20+19+18+17+16+15+14+13+12+11+10+9+8+7+6+5+4+3+2+1)-(21+20+19+18+17+16+15+14+13+12+11+10+9+8+7+6+5+4+3+2+1+6)	A0			MT			HIT	ALL
314	[fbr101]	Y2	5-5+X-3-3	A0			MT			HIT	ALL
316	[csh101]	Y2	(X-6)-987987987+987987987-987987987+987987987	A0			MT	BN		HIT	ALL
319	[ywx101]	Y1	X+6-6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6	A0			MT			HIT	ALL
321	[khy101]	Y3	X-6+1+2+3+16+0-22	A0			MT			HIT	ALL
328	[axy101]	Y3	X-(24*1/4)	ASMD			MT			HIT	ALL
328	[axy101]	Y2	X*2+X-2X-12+6-3+3	A0			MT			HIT	ALL
