12:07:06 PM	I1 A1 - Same As 4X - BPGHS 101 2010	Y=	Function	Math 1	Math 2	Math 3	Social 1	Social 2	Social 3	Hit/No-Hit	ALL
37	[tyt101]	Y2	2X+2X	VASM			N			HIT	ALL
37	[tyt101]	Y1	4X	S			N			HIT	ALL
58	[mkw101]	Y2	2X+2X	VASM			N			HIT	ALL
58	[mkw101]	Y1	4X	S			N			HIT	ALL
61	[fbr101]	Y2	2X+2X	VASM			N			HIT	ALL
61	[lec101]	Y2	2X+2X	VASM			N			HIT	ALL
61	[fbr101]	Y1	4X	S			N			HIT	ALL
61	[lec101]	Y1	4X	S			N			HIT	ALL
68	[lah101]	Y2	2X+2X	VASM			N			HIT	ALL
68	[lah101]	Y1	4X	S			N			HIT	ALL
70	[kjg101]	Y2	2X+2X	VASM			N			HIT	ALL
70	[kjg101]	Y1	4X	S			N			HIT	ALL
101	[gmf101]	Y2	2X+2X	VASM			N			HIT	ALL
101	[gmf101]	Y1	4X	S			N			HIT	ALL
102	[ywx101]	Y2	2X+2X	VASM			N			HIT	ALL
102	[ywx101]	Y1	4X	S			N			HIT	ALL
107	[nas101]	Y2	2X+2X	VASM			N			HIT	ALL
108	[nas101]	Y1	4X	S			N			HIT	ALL
144	[nyh101]	Y3	1X+3X	VASM			N			HIT	ALL
144	[nyh101]	Y2	2X+2X	VASM			N			HIT	ALL
144	[nyh101]	Y1	4X	S			N			HIT	ALL
144	[nyh101]	Y4	8X-4X	VASM			N			HIT	ALL
151	[tyt101]	Y3	3X+X	VASM			N			HIT	ALL
151	[tyt101]	Y4	4X+0	S			N			HIT	ALL
165	[lss101]	Y3	1X+1X+1X+1X	VASM			MT			HIT	ALL
165	[lss101]	Y4	2X*2	VASM			N			HIT	ALL
165	[lss101]	Y2	2X+2X	VASM			N			HIT	ALL
166	[lss101]	Y1	4X	S			N			HIT	ALL
169	[cmk101]	Y3	1X+1X+1X+1X	VASM			MT			HIT	ALL
169	[cmk101]	Y4	1X+1X+2X	VASM			N			HIT	ALL
169	[cmk101]	Y2	2X+2X	VASM			N			HIT	ALL
170	[cmk101]	Y1	4X	S			N			HIT	ALL
226	[vth101]	Y4	100X-96X	VASM			N			HIT	ALL
226	[vth101]	Y1	4X	S			N			HIT	ALL
226	[vth101]	Y2	5X-X	VASM			N			HIT	ALL
226	[vth101]	Y3	6X-2X	VASM			N			HIT	ALL
232	[tyt101]	Y3	3X+7X	VASM			N			NO-HIT	ALL
232	[tyt101]	Y4	9X+X	SNO			N			NO-HIT	ALL
233	[tyt101]	Y1	10X	SNO			N			NO-HIT	ALL
233	[tyt101]	Y2	2X+8X	VASM			N			NO-HIT	ALL
234	[ywx101]	Y4	32X-28X	VASM			N			HIT	ALL
234	[ywx101]	Y3	8X-4X	VASM			N			HIT	ALL
240	[mkw101]	Y2	30X-3X	SNO			N			NO-HIT	ALL
240	[mkw101]	Y1	9X*3	SNO			N			NO-HIT	ALL
241	[tmt101]	Y2	2X+2X	VASM			N			HIT	ALL
241	[tmt101]	Y1	4X	S			N			HIT	ALL
241	[tmt101]	Y3	5X-X	VASM			N			HIT	ALL
241	[tmt101]	Y4	8X/2	R			N			HIT	ALL
245	[tmj101]	Y1	(2^2)X	ASMD			N			HIT	ALL
247	[lah101]	Y3	1X+3X	VASM			N			HIT	ALL
247	[lah101]	Y4	5X+2X-2X-1X+2X-2X	A0			MT			HIT	ALL
248	[hyx101]	Y4	(2^2)X	ASMD			N			HIT	ALL
248	[fbr101]	Y3	1X*4	VASM			N			HIT	ALL
248	[hyx101]	Y3	2X*2	VASM			N			HIT	ALL
248	[hyx101]	Y2	2X+2X	VASM			N			HIT	ALL
248	[fbr101]	Y4	3X+X	VASM			N			HIT	ALL
249	[hyx101]	Y1	4X	S			N			HIT	ALL
252	[lec101]	Y4	16X/4	R			N			HIT	ALL
252	[lec101]	Y3	2X+2X	VASM			N			HIT	ALL
252	[lec101]	Y2	8X/2	R			N			HIT	ALL
259	[tjs101]	Y2	2X*2	VASM			N			HIT	ALL
259	[tjs101]	Y3	4X*1	VASM			N			HIT	ALL
259	[tjs101]	Y4	X+X+X+X	VASM			MT			HIT	ALL
260	[tjs101]	Y1	4X	S			N			HIT	ALL
267	[txl101]	Y1	(10X+98X)/9X	R			N			NO-HIT	ALL
267	[txl101]	Y2	9X+3X	S			N			NO-HIT	ALL
272	[cgh101]	Y4	(2^2)X	ASMD			N			HIT	ALL
272	[cgh101]	Y3	1X+3X	VASM			N			HIT	ALL
273	[cgh101]	Y1	4X	S			N			HIT	ALL
274	[lxj101]	Y3	((2X)^2)	VASM			N			NO-HIT	ALL
274	[lxj101]	Y2	2X+(1+1)X	VASM			N			HIT	ALL
274	[lxj101]	Y1	4X	S			N			HIT	ALL
274	[lxj101]	Y4	9X-5X	VASM			N			HIT	ALL
280	[lrw101]	Y4	1X+1X+1X+1X	VASM			MT			HIT	ALL
280	[lrw101]	Y3	1X+3X	VASM			N			HIT	ALL
280	[lrw101]	Y2	2X+2X	VASM			N			HIT	ALL
281	[lrw101]	Y1	4X	S			N			HIT	ALL
282	[lzh101]	Y3	1X+3X	VASM			N			HIT	ALL
282	[lzh101]	Y2	2X+2X	VASM			N			HIT	ALL
282	[lzh101]	Y4	3X+1X	VASM			N			HIT	ALL
282	[lzh101]	Y1	4X	VASM			N			HIT	ALL
283	[cyr101]	Y2	-18X+22X	VASM			N			HIT	ALL
283	[cyr101]	Y4	36X/9	R			N			HIT	ALL
283	[cyr101]	Y1	4X	S			N			HIT	ALL
283	[cyr101]	Y3	9X-5X	VASM			N			HIT	ALL
